pmid,first_author,lab_pi,lab,year,dataset_description,experiment_description,assay_term_id,assay_term_name,biosample_id,biosample_term_name,strain_background,experiment_dbxref,datafile_name,gbrowse_category,old_category,category,label,key
19837041,Vogtle,"Sickmann, Albert",Institute for Analytical Sciences,2009,"VogtleSuppl.pdf: Contains supplemental experimental procedures, supplemental references, and three figures|VogtleTablesS1-6.pdf: Contains the following tables: Table S1. List of N-Terminal Peptides of Mitochondrial Proteins Identified by COFRADIC in Wild-Type S. cerevisiae Mitochondria; Table S2. Comparison of N-Termini Identified in This Study with Published Experimentally Determined N-Termini of Mitochondrial Proteins (Control Set); Table S3. List of Mitochondrial Presequences Deduced from Identified N-Termini, Including Also Noncleavable Proteins (N-Proteome Master Set, 585 N-Termini); Table S4. List of Icp55 Substrate Proteins; Table S5. List of N-Terminal Peptides of Icp55 Substrate Proteins Identified by COFRADIC of icp55delta Mitochondria; Table S6. MRM Quantitation of N-Termini from Icp55 Substrate Proteins in Wild-Type and icp55delta Mitochondria.",Vogtle et al. conducted a global analysis of the N-proteome of yeast mitochondria and revealed the N-termini of 615 different proteins.,NTR:2D-DIGE_XXXX|OBI:0000854|NTR:LC-MS/MS_XXXX,2D-DIGE|Western Blot analysis|LC-MS/MS,GO:0005739,Mitochondria,S288C,,http://downloads.yeastgenome.org/published_datasets/Vogtle_2009_PMID_19837041/VogtleSuppl.pdf|http://downloads.yeastgenome.org/published_datasets/Vogtle_2009_PMID_19837041/VogtleTablesS1-6.pdf,,organelles|protein modification,protein modification,Vogtle_2009,Experimentally determined protein N termini
16522208,MacIsaac,"Fraenkel, Ernest",MIT,2006,Supplementary file p001_c3.gff provided by the authors at the following location: http://fraenkel.mit.edu/improved_map/latest_maps.html; represents binding sites determined from the ChIP-chip data of Harbison et al. (2004) at the most stringent binding p-value cutoff (0.001) and conservation cutoff studied.,"MacIsaac et al. re-analyzed the Harbison et al. (2004, PMID: 15343339) ChIP-chip analysis to determine the binding locations of 203 regulatory proteins across the budding yeast genome.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,,http://downloads.yeastgenome.org/published_datasets/MacIsaac_2006_PMID_16522208/track_files/MacIsaac_2006_ChIP_chip_TFBSs_V64.gff3,transcription recombination,transcription,transcription,TF_ChIP_ChIP,MacIsaac_2006_ChIP_chip_TFBSs_V64
15743812,Tachibana,"Young, Elton T.",University of Washington,2005,Supplementary Tables 1 and 2 accompanying the original publication; describe the ChIP-chip localization data for transcription factors Adr1 and Cat8 respectively.,Tachibana et al. examined the combinatorial regulation by transcription factors Adr1 and Cat8 genome-wide in Saccharomyces cerevisiae during glucose depletion using ChIP-chip.,OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,,http://downloads.yeastgenome.org/published_datasets/Tachibana_2005_PMID_15743812/track_files/Tachibana_2005_Adr1_and_Cat8_binding_regions_V64.gff3,transcription regulation,carbon utilization,carbon utilization,Adr1_and_Cat8_binding_regions,Tachibana_2005_Adr1_and_Cat8_binding_regions_V64
17157256,Steinmetz,"Brow, David A.",Univeristy of Wisconsin,2006,Contains the data for the genome-wide distribution of RNA polymerase II in the sen1 mutant strain and was graciously supplied by the authors to SGD.,Steinmetz et al. constructed a high-resolution map of RNA polymerase II occupancy across the entire yeast genome using ChIP-chip technology in wildtype and sen1 mutant strains. The Sen1 helicase is a RNA polymerase II termination factor for noncoding RNA genes.,OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,Other,GPL4563|GSE6293,http://downloads.yeastgenome.org/published_datasets/Steinmetz_2006_PMID_17157256/track_files/Steinmetz_2006_PolII_occupancy_sen1_V64.wig,transcription regulation,transcription,transcription,PolII_occupancy_sen1,Steinmetz_2006_PolII_occupancy_sen1_V64
17157256,Steinmetz,"Brow, David A.",Univeristy of Wisconsin,2006,Contains the data for the genome-wide distribution of RNA polymerase II in the wildtype strain and was graciously supplied by the authors to SGD.,Steinmetz et al. constructed a high-resolution map of RNA polymerase II occupancy across the entire yeast genome using ChIP-chip technology in wildtype and sen1 mutant strains. The Sen1 helicase is a RNA polymerase II termination factor for noncoding RNA genes.,OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,Other,GPL4563|GSE6293,http://downloads.yeastgenome.org/published_datasets/Steinmetz_2006_PMID_17157256/track_files/Steinmetz_2006_PolII_occupancy_WT_V64.wig,transcription regulation,transcription,transcription,PolII_occupancy_WT,Steinmetz_2006_PolII_occupancy_WT_V64
17067396,Xu,"Tavare, Simon",Cancer Research UK Cambridge Institute,2006,Additional file 5 in the supplementary materials accompanying the publication; Additional file 5 contains a comparison of the authors' HMM predictions to 96 known ARS.,Xu et al. used tiling arrays to map ORC and Mcm2p binding sites to identify essential replication origin sequences genome-wide at high resolution and defined a set of potential Autonomously Replicating Sequences (ARSs).,OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,,http://downloads.yeastgenome.org/published_datasets/Xu_2006_PMID_17067396/track_files/Xu_2006_known_ARS_identified_V64.gff3,RNA expression profiling,transcription,transcription,Known_ARS_identified,Xu_2006_known_ARS_identified_V64
17067396,Xu,"Tavare, Simon",Cancer Research UK Cambridge Institute,2006,"Additional file 8 and Additional file 9 in the supplementary materials accompanying the publication; 505 predicted ACS locations and sequences (nimACS) were determined from ORC and MCM2 ChIP-chip experiments, using a scanning 1kb window centred on each ORC and MCM peak with an EACS+B1 PWM and using a p-value cutoff of 1.3 x 10^-4. Please refer to the original publication for more details on the procedure. The start coordinates have been decreased by 1 to convert into BED format (0-based, end non-inclusive).",Xu et al. used tiling arrays to map ORC and Mcm2p binding sites to identify essential replication origin sequences genome-wide at high resolution and defined a set of potential Autonomously Replicating Sequences (ARSs).,OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,,http://downloads.yeastgenome.org/published_datasets/Xu_2006_PMID_17067396/track_files/Xu_2006_nimACS_V64.gff3,RNA expression profiling,transcription,transcription,Known_Predicted_ACSs,Xu_2006_nimACS_V64
17067396,Xu,"Tavare, Simon",Cancer Research UK Cambridge Institute,2006,"Additional file 6 and Additional file 10 in the supplementary materials accompanying the publication, as well as from OriDB, a DNA replication origin database (http://www.oridb.org/download/study.php?study=17067396); 529 predicted ARS locations (nimARS) were determined from ORC and MCM2 ChIP-chip experiments, and a threshold peak signal (avgZ >= 2.75) was used to select MCM2-only (178) and ORC-only (2) regions with a high probability of ARS activity, in addition to 349 ORC-MCM2 sites.",Xu et al. used tiling arrays to map ORC and Mcm2p binding sites to identify essential replication origin sequences genome-wide at high resolution and defined a set of potential Autonomously Replicating Sequences (ARSs).,OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,,http://downloads.yeastgenome.org/published_datasets/Xu_2006_PMID_17067396/track_files/Xu_2006_nimARS_V64.gff3,RNA expression profiling,transcription,transcription,Known_Predicted_ARSs,Xu_2006_nimARS_V64
17067396,Xu,"Tavare, Simon",Cancer Research UK Cambridge Institute,2006,"Mcm2 ChIP-chip raw data found at OriDB (http://www.oridb.org/download/raw.php?data=xu_2006_mcm&format=text); Briefly, Mcm2p-bound DNA was isolated from cells arrested in G1 phase with 8.3 ng/mL _-factor (Sigma) for 4 hours at 23¶õC using anti-Mcm2p antibody (1:50, Santa Cruz). Immunoprecipitated DNA, as well as non-enriched total DNA, was amplified using ligation-mediated-PCR (LM-PCR). Enriched and total DNAs were end-labeled with Cy5 and Cy3, respectively, and co-hybridized to an array designed and synthesized by NimbleGen Systems, Inc. This array contained 124,991 50 bp oligonucleotides tiled every 80 bp across the S. cerevisiae genome, present in triplicate.",Xu et al. used tiling arrays to map ORC and Mcm2p binding sites to identify essential replication origin sequences genome-wide at high resolution and defined a set of potential Autonomously Replicating Sequences (ARSs).,OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,,http://downloads.yeastgenome.org/published_datasets/Xu_2006_PMID_17067396/track_files/Xu_2006_MCM2_ChIP_chip_binding_data_V64.wig,RNA expression profiling,transcription,transcription,MCM2_ChIP_chip_binding,Xu_2006_MCM2_ChIP_chip_binding_data_V64
17067396,Xu,"Tavare, Simon",Cancer Research UK Cambridge Institute,2006,"Mcm2 ChIP-chip raw data found at OriDB (http://www.oridb.org/download/raw.php?data=xu_2006_orc&format=text); Briefly, ORC-bound DNA was isolated from cells arrested with nocodazole (10 _g/mL) for 3 hours at 23¶õC using anti-ORC polyclonal antibody (1:500). Immunoprecipitated DNA, as well as non-enriched total DNA, was amplified using ligation-mediated-PCR (LM-PCR). Enriched and total DNAs were end-labeled with Cy5 and Cy3, respectively, and co-hybridized to an array designed and synthesized by NimbleGen Systems, Inc. This array contained 124,991 50 bp oligonucleotides tiled every 80 bp across the S. cerevisiae genome, present in triplicate.",Xu et al. used tiling arrays to map ORC and Mcm2p binding sites to identify essential replication origin sequences genome-wide at high resolution and defined a set of potential Autonomously Replicating Sequences (ARSs).,OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,W303,,http://downloads.yeastgenome.org/published_datasets/Xu_2006_PMID_17067396/track_files/Xu_2006_ORC_ChIP_chip_binding_data_V64.bedgraph,RNA expression profiling,transcription,transcription,ORC_ChIP_chip_binding,Xu_2006_ORC_ChIP_chip_binding_data_V64
18076285,Buhler,"Lichten, Michael",National Cancer Institute,2007,Supplementary Table S1 from the supplementary materials accompanying the paper; represents the dmc1delta mutant (averaged between two independent experiments) microarray ratios.,"Buhler et al. developed a method to map single-strand DNA-associated double strand breaks (DSBs) after removal of Spo11 in processing-capable, repair-defective dmc1_delta and dmc1_delta rad51_delta mutants genome-wide in S. cerevisiae.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,SK1,GSE8981,http://downloads.yeastgenome.org/published_datasets/Buhler_2007_PMID_18076285/track_files/Buhler_2007_dmc1delta_denoised_ratios_V64.wig,replication and recombination,"DNA replication, recombination and repair","DNA replication, recombination and repair",dmc1delta_denoised_ratios,Buhler_2007_dmc1delta_denoised_ratios_V64
18076285,Buhler,"Lichten, Michael",National Cancer Institute,2007,"This data was  compiled from Supplementary Table S1 from the supplementary materials accompanying the paper; represents the background normalized, denoised Rad50S mutant (averaged between two independent experiments) microarray ratios.","Buhler et al. developed a method to map single-strand DNA-associated double strand breaks (DSBs) after removal of Spo11 in processing-capable, repair-defective dmc1_delta and dmc1_delta rad51_delta mutants genome-wide in S. cerevisiae.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,SK1,GSE8981,http://downloads.yeastgenome.org/published_datasets/Buhler_2007_PMID_18076285/track_files/Buhler_2007_rad50S_denoised_ratios_V64.bedgraph,replication and recombination,"DNA replication, recombination and repair","DNA replication, recombination and repair",rad50S_denoised_ratios,Buhler_2007_rad50S_denoised_ratios_V64
18076285,Buhler,"Lichten, Michael",National Cancer Institute,2007,Supplementary Table S1 from the supplementary materials accompanying the paper; represents the background normalized de-noised rad51delta dmc1delta mutant (averaged between two independent experiments) microarray ratios.,"Buhler et al. developed a method to map single-strand DNA-associated double strand breaks (DSBs) after removal of Spo11 in processing-capable, repair-defective dmc1_delta and dmc1_delta rad51_delta mutants genome-wide in S. cerevisiae.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,SK1,GSE8981,http://downloads.yeastgenome.org/published_datasets/Buhler_2007_PMID_18076285/track_files/Buhler_2007_rad51delta_dmc1delta_denoised_ratios_V64.bedgraph,replication and recombination,"DNA replication, recombination and repair","DNA replication, recombination and repair",rad51delta_dmc1delta_denoised_ratios,Buhler_2007_rad51delta_dmc1delta_denoised_ratios_V64
21483810,Guillemette,"Festenstein, Richard",Imperial College,2011,GEO sample accession GSM675138 under GEO series accession GSE27307; contain ChIP binding ratios from ChIPed DNA from a set1_ mutant using an anti-H3K4ac antibody vs. WT ChIPed DNA using an anti-H3K4ac antibody.,"Guillemette et al. showed that histone H3 was acetylated at lysine 4 (H3K4ac) in budding yeast and examined its distribution genome wide, finding it to be enriched at promoters of actively transcribed genes and located just upstream of H3K4 trimethylation marks (H3K4me3).",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,S288C,GSM675138|GSE27307,http://downloads.yeastgenome.org/published_datasets/Guillemette_2011_PMID_21483810/track_files/Guillemette_2011_H3K4ac_set1D_on_WT_exp2_ChIP_chip_V64.bedgraph,chromatin structure,chromatin organization,chromatin organization,H3K4ac_set1D_on_WT_exp2_ChIP_chip,Guillemette_2011_H3K4ac_set1D_on_WT_exp2_ChIP_chip_V64
21483810,Guillemette,"Festenstein, Richard",Imperial College,2011,GEO sample accession GSM675137 under GEO series accession CSE27307; contain ChIP binding ratios from ChIPed DNA from a set1_delta mutant using an anti-H3K4ac antibody vs. WT ChIPed DNA for non-modified H3 using an anti-H3 antibody.,"Guillemette et al. showed that histone H3 was acetylated at lysine 4 (H3K4ac) in budding yeast and examined its distribution genome wide, finding it to be enriched at promoters of actively transcribed genes and located just upstream of H3K4 trimethylation marks (H3K4me3).",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,S288C,GSM675137|GSE27307,http://downloads.yeastgenome.org/published_datasets/Guillemette_2011_PMID_21483810/track_files/Guillemette_2011_set1D_H3K4ac_on_H3_exp2_ChIP_chip_V64.bedgraph,chromatin structure,chromatin organization,chromatin organization,set1D_H3K4ac_on_H3_exp2_ChIP_chip,Guillemette_2011_set1D_H3K4ac_on_H3_exp2_ChIP_chip_V64
21483810,Guillemette,"Festenstein, Richard",Imperial College,2011,GEO sample accessions GSM75134 under GEO series accession GSE27307; contain ChIP binding ratios from WT ChIPed DNA using an anti-H3K4ac antibody vs. WT ChIPed DNA for non-modified H3 using an anti-H3 antibody.,"Guillemette et al. showed that histone H3 was acetylated at lysine 4 (H3K4ac) in budding yeast and examined its distribution genome wide, finding it to be enriched at promoters of actively transcribed genes and located just upstream of H3K4 trimethylation marks (H3K4me3).",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,S288C,GSM675134|GSE27307,http://downloads.yeastgenome.org/published_datasets/Guillemette_2011_PMID_21483810/track_files/Guillemette_2011_WT_H3K4ac_on_H3_ChIP_chip_V64.bedgraph,chromatin structure,chromatin organization,chromatin organization,WT_H3K4ac_on_H3_ChIP_chip,Guillemette_2011_WT_H3K4ac_on_H3_ChIP_chip_V64
21483810,Guillemette,"Festenstein, Richard",Imperial College,2011,GEO sample accessions GSM675135 under GEO series accession GSE27307; contain ChIP binding ratios from WT ChIPed DNA using an anti-H3K4ac antibody vs. WT ChIPed DNA for non-modified H3 using an anti-H3 antibody.,"Guillemette et al. showed that histone H3 was acetylated at lysine 4 (H3K4ac) in budding yeast and examined its distribution genome wide, finding it to be enriched at promoters of actively transcribed genes and located just upstream of H3K4 trimethylation marks (H3K4me3).",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,S288C,GSM675135|GSE27307,http://downloads.yeastgenome.org/published_datasets/Guillemette_2011_PMID_21483810/track_files/Guillemette_2011_WT_H3K4me3_on_H3_ChIP_chip_V64.bedgraph,chromatin structure,chromatin organization,chromatin organization,WT_H3K4me3_on_H3_ChIP_chip,Guillemette_2011_WT_H3K4me3_on_H3_ChIP_chip_V64
16248679,Guillemette,"Gaudreau, Luc",University of Sherbrooke,2005,Table S3 accompanying the publication; contains the smoothed H2A/H2B log2 ratios derived from the raw ChIP-chip data across the entire genome.,"Guillemette et al. examined the distribution of histone variant H2A.Z across the yeast genome using ChIP-chip, finding it predominantly within specific nucleosomes in the promoter of inactive genes.",OBI:0001248,ChIP-chip assay,OBI:0001051,DNA extract,Other,E-MEXP-396,http://downloads.yeastgenome.org/published_datasets/Guillemette_2005_PMID_16248679/track_files/Guillemette_2005_H2A_vs_H2B_ChIP_chip_V64.bedgraph,chromatin structure,chromatin organization,chromatin organization,H2A_vs_H2B_ChIP_chip,Guillemette_2005_H2A_vs_H2B_ChIP_chip_V64
